Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Ministry of Health- Uganda,minofhealthUG,767949523254855,187770,2020-09-22 16:09:57 EAT,Photo,11598,173,55,19,2,12,0,1,2,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3514002755316171,"The COVID-19 response has been boosted with an assortment of medicines from the Government of India. This was received by the Minister for State in-charge of Primary Health Care, Dr Joyce Moriku Kaducu. The Permanent Secretary, Dr. Diana Atwine also received an array of Personal Protective Equipment comprising of 20,000 Face masks, 30,000 Examination Gloves and 120 pieces of infrared thermometers from Fosun Pharma and Phillip's Pharmaceuticals Uganda. The companies were represented by Ani, Director, Phillip's Pharmaceuticals Uganda Limited and Sanjoy Basak Country Head Fosun.",https://www.facebook.com/minofhealthUG/photos/a.802441493138991/3513998611983252/?type=3,,,Photos from Ministry of Health- Uganda's post,,,,"11,862","11,862"
Ministry of Health- Uganda,minofhealthUG,767949523254855,186096,2020-09-16 11:52:05 EAT,Photo,11000,235,126,31,5,15,2,3,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3495023373880776,"The Minister for Health Dr. Jane Ruth Aceng Ocero has launched the randomized clinical trial for use of COVID-19 convalescent plasma (CCP) for treatment of COVID-19 in Uganda. The commencement of the trial will determine the efficacy of convalescent plasma in treating COVID-19. A total of 162 COVID-19 convalescent plasma units have been collected. This can be used to treat 65 patients. Convalescent plasma is plasma from individuals who have recovered from an infection and it may contain antibodies against that infection. “We are at phase IV of the outbreak. This means we have widespread community transmission. All our efforts are geared towards mitigation and use of CCP is one part of our strategies” Dr Aceng said while launching the clinical trials. She further appealed to individuals who have recovered from COVID-19 to continue giving plasma as teams will continue to require it for the trials. Speaking at the launch of the clinical trail, The head Makerere University Lung Institute , Dr Bruce Kirenga said 186 recovered COVID-19 patients willingly consented to participate in the blood donation but only 162 qualified. “The donors came from all parts of Uganda except Karamoja region, where there was no COVID-19 infection at the time” he added. All the plasma samples donated had enough antibodies to warrant use in treatment of COVID-19 patients. There is emerging evidence from different countries to support the use of COVID-19 Convalescent plasma in the treatment of COVID-19 especially among severe and critical forms.",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3495001183882995/?type=3,,,Photos from Ministry of Health- Uganda's post,,,,"11,418","11,418"
Ministry of Health- Uganda,minofhealthUG,767949523254855,187257,2020-09-20 15:36:29 EAT,Photo,6223,433,115,13,7,40,31,4,2,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3507790389270741,"Results from COVID-19 tests done on 19 September 2020 270 new COVID-19 cases confirmed. The cumulative total confirmed cases of Ugandans are now 6,287.",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3507789759270804/?type=3,,"p THE REPU BLIC FUGANDA MINISTRY OF HEALTH COVID-19 DAILY UPDATES NEW CASES RESULTS OF 19TH.SEPT.2020 CUMULATIVE DEATHS TO-DATE 63 270 CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 6,287 RECOVERIES TOTAL COVID-19 SAMPLES TESTED TO-DATE 451,737 2,616 Wear Mask 0800-100-066 0800-203-033 Wosh your Hands Keep your Distance E-mail: dghs@infocom.co.ug Website: ebsite:www.health.go.ug www.h #STAYSAFEUG",,,,,"6,868","6,868"
Ministry of Health- Uganda,minofhealthUG,767949523254855,184928,2020-09-10 07:58:02 EAT,Photo,5111,343,60,13,2,10,1,1,2,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3476228312426949,"Do not discriminate against individuals who have recovered from COVID-19. Once they have recovered, embrace them into the communities with love ❤️ and care. Remember: COVID-19 does not discriminate and neither should we! #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3476227025760411/?type=3,,THE REPU BLIC e UGANDA MINISTRY OF HEALTH COVID-19 does NOT discriminate; and neither should we! #STAYSAFEUG,,,,,"5,543","5,543"
Ministry of Health- Uganda,minofhealthUG,767949523254855,186899,2020-09-19 10:00:54 EAT,Photo,5079,267,82,6,3,15,24,3,2,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3504031319646648,"Since the onset of the COVID-19 outbreak, 300 children aged 0-18 years have tested positive for COVID-19 in Uganda. As a parent/guardian, you are responsible for the safety of your child. #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3504030246313422/?type=3,,,,,,,"5,481","5,481"
Ministry of Health- Uganda,minofhealthUG,767949523254855,184114,2020-09-04 14:42:47 EAT,Photo,4102,633,118,4,1,43,39,4,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3458393257543788,Results of COVID-19 tests done on 03 September 2020 confirm 65 new cases. 🔺Uganda registered 2 COVID-19 fatalities bringing the total COVID-19 deaths to 35.,https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3458392887543825/?type=3,,,,,,,"4,945","4,945"
Ministry of Health- Uganda,minofhealthUG,767949523254855,186360,2020-09-17 14:11:13 EAT,Photo,4067,281,95,4,5,38,19,3,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3498465803536533,"Results of COVID-19 tests done on 16 September 2020 confirm 114 new cases. The cumulative confirmed cases of Ugandans now is 5,380. 🔸Recoveries: 2,489 #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3498464090203371/?type=3,,,,,,,"4,513","4,513"
Ministry of Health- Uganda,minofhealthUG,767949523254855,186360,2020-09-17 07:33:08 EAT,Native Video,4152,156,151,11,1,17,10,2,4,original,36504,37630,0,00:00:31,https://www.facebook.com/minofhealthUG/posts/3497676710282109,"There are many myths about COVID-19. But, remember, the disease is real and it kills. COVID-19 does NOT know age, tribe, gender or social status. Protect yourself and your loved ones. #WearItForMe #STAYSAFEUG",https://www.facebook.com/minofhealthUG/videos/3331193966973722/,,,"COVID-19 is real, and it kills. Do not believe the myths.",,,,"4,504","4,504"
Ministry of Health- Uganda,minofhealthUG,767949523254855,184928,2020-09-10 15:10:19 EAT,Photo,3741,427,136,6,8,73,44,6,2,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3477053125677801,"Results of COVID-19 tests done on 09 September 2020 confirm 190 new cases. The cumulative confirmed cases are 4,291. 🔺2 new COVID-19 deaths registered. The total COVID-19 deaths are now 48.",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3477052032344577/?type=3,,,,,,,"4,443","4,443"
Ministry of Health- Uganda,minofhealthUG,767949523254855,185692,2020-09-14 19:08:46 EAT,Photo,3583,349,84,9,4,42,45,2,2,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3489909967725450,"Results of COVID-19 tests done on 13 September 2020 confirm 179 new cases. The cumulative confirmed cases of Ugandans to-date is now 4,978. 🔺One new COVID-19 death registered one Kitgum. The total COVID-19 deaths are now 56. #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3489909054392208/?type=3,,,,,,,"4,120","4,120"
Ministry of Health- Uganda,minofhealthUG,767949523254855,185878,2020-09-15 16:25:06 EAT,Photo,3183,497,91,10,4,32,34,3,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3492550764128037,"Results of COVID-19 tests done on 14 September 2020 confirm 145 new cases. The cumulative confirmed cases of Ugandans to-date is 5,123. 🔸Recoveries: 2,333 🔺2 new COVID-19 deaths registered. Total COVID-19 deaths are now 58. #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3492550530794727/?type=3,,,,,,,"3,855","3,855"
