Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Total Interactions,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x )
Ministry of Health- Uganda,minofhealthUG,767949523254855,171496,2020-08-05 15:13:59 EAT,Native Video,22209,2690,4273,812,114,777,34,97,92,original,2568346,2708201,0,00:01:31,https://www.facebook.com/minofhealthUG/posts/3369584703091311,"The President of Uganda, His Excellency, Yoweri Kaguta Museveni demonstrates an indoor work-out to keep fit and healthy during this COVID-19 pandemic. Remember to exercise daily for at least 30 minutes to prevent Non-Communicable Diseases and stay fit. #STAYSAFEUG",https://www.facebook.com/minofhealthUG/videos/2432526867040644/,,,President Museveni Indoor Video,,,,"31,098","31,098"
Ministry of Health- Uganda,minofhealthUG,767949523254855,181221,2020-08-27 13:22:55 EAT,Photo,23845,287,66,35,8,24,1,2,4,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3433311780051936,"The Minister of Health, Dr. Jane Ruth Aceng Ocero and Permanent Secretary, Dr. Diana Atwine officiate at a COVID-19 Sensitization Meeting for Spiritual Leaders (Born Again Faith) of Lango sub-region at All Nations in Lira City. Leaders are instrumental in mobilizing communities to adhere to SOPs in the wake of disease outbreaks.",https://www.facebook.com/minofhealthUG/photos/a.802441493138991/3433311196718661/?type=3,,,Photos from Ministry of Health- Uganda's post,,,,"24,272","24,272"
Ministry of Health- Uganda,minofhealthUG,767949523254855,180459,2020-08-26 15:56:40 EAT,Photo,14956,171,30,14,1,4,1,0,4,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3430611936988587,"Continuous sensitization of leaders and communities on COVID-19 and other diseases is key in preventing avoidable deaths. Ag. Commissioner in charge of Health Promotion and Education, Dr Richard Kabanda engages with staff, political leaders and key community leaders at Namasale Sub-County in Amolatar District on promoting health and preventing diseases amidst the ongoing COVID-19 pandemic. This is part of the activities undertaken by the Ministry of Health top management during the routine support supervision currently taking place in Lango sub-region. The teams will visit Apac, Kole, Lira, Amolatar and Dokolo.",https://www.facebook.com/minofhealthUG/photos/a.802441493138991/3430610913655356/?type=3,,,,,,,"15,181","15,181"
Ministry of Health- Uganda,minofhealthUG,767949523254855,173330,2020-08-09 07:00:01 EAT,Photo,13305,708,135,39,5,59,5,12,7,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3379002025482912,"Door-to-door distribution of face masks has kicked off in Kampala Metropolitan Area as part of Government's interventions to curb the spread of COVID-19. This exercise is being coordinated by the local community leaders. Distribution is also ongoing in Wakiso and Mukono districts. Ensure you receive your face mask and wear it when in public places. Wear the face mask correctly i.e. cover your mouth and nose. When worn correctly, the face mask can provide full protection from COVID-19. DO NOT let the mask hang on your chin, neck like a necklace, or on your ear like an earring Practice frequent hand washing and maintain social distancing. COVID-19 is real and it kills. Camera: @KCCAUG #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.802441493138991/3378998985483216/?type=3,,,Photos from Ministry of Health- Uganda's post,,,,"14,275","14,275"
Ministry of Health- Uganda,minofhealthUG,767949523254855,175516,2020-08-15 15:05:22 EAT,Native Video,12170,428,744,87,13,23,38,11,35,original,140053,159584,0,00:02:07,https://www.facebook.com/minofhealthUG/posts/3398092086907239,"Dr Phionah Atuhebwe, a Ugandan working at World Health Organization African Region narrates her ordeal after contracting the dangerous COVID-19. “I was the youngest, most active and the healthiest of all of us who got COVID. But I was the person that ended up in ICU” #STAYSAFEUG",https://www.facebook.com/minofhealthUG/videos/217673256340733/,,,Testimony from a Ugandan COVID-19 survivor.,,,,"13,549","13,549"
Ministry of Health- Uganda,minofhealthUG,767949523254855,169935,2020-08-01 15:23:16 EAT,Photo,9701,1463,274,9,14,215,96,21,2,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3358393910877057,"The Ministry of Health confirms one COVID-19 death today bringing the total COVID-19 deaths to 4. Results of COVID-19 tests done on 31 July 2020 confirm 22 new cases. The cumulative confirmed cases of Ugandans to-date is 1,176. #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3358393657543749/?type=3,,,Photos from Ministry of Health- Uganda's post,,,,"11,795","11,795"
Ministry of Health- Uganda,minofhealthUG,767949523254855,173330,2020-08-09 17:21:33 EAT,Photo,9819,615,161,11,13,100,51,7,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3381190311930750,"Results of COVID-19 tests done on 08 August 2020 confirm 16 new cases. The total cumulative confirmed cases of Ugandans is 1,283. 🔺Uganda registered one death today, bringing the total COVID-19 deaths to seven (7). 🔸Cumulative COVID-19 recoveries: 1,115. #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3381189835264131/?type=3,,,Photos from Ministry of Health- Uganda's post,,,,"10,778","10,778"
Ministry of Health- Uganda,minofhealthUG,767949523254855,169453,2020-07-31 19:02:34 EAT,Photo,8439,1037,284,10,9,282,99,17,4,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3355994961116952,"Uganda has registered one COVID-19 death today. This brings the total COVID-19 deaths to three. Results from COVID-19 tests done on 30 July 2020 confirmed 7 cases bringing the cumulative total of confirmed Ugandan cases to 1,154. #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3355994784450303/?type=3,,,Photos from Ministry of Health- Uganda's post,,,,"10,181","10,181"
Ministry of Health- Uganda,minofhealthUG,767949523254855,179778,2020-08-25 07:59:04 EAT,Native Video,7412,265,1747,143,10,38,12,11,27,original,170732,213982,0,00:01:23,https://www.facebook.com/minofhealthUG/posts/3426711844045263,Never underestimate the power of social distancing in the fight against COVID-19. #STAYSAFEUG,https://www.facebook.com/minofhealthUG/videos/2671871793037561/,,,The Power of Social Distancing in the fight against COVID-19,,,,"9,665","9,665"
Ministry of Health- Uganda,minofhealthUG,767949523254855,178763,2020-08-23 14:27:57 EAT,Native Video,9107,89,213,59,7,18,2,6,5,original,57993,59700,0,00:00:59,https://www.facebook.com/minofhealthUG/posts/3421522614564186,"COVID-19 has impacted our lives in various ways. However, let us be vigilant and adhere to the preventive measures and Standard Operating Procedures to end COVID-19. #STAYSAFEUG",https://www.facebook.com/minofhealthUG/videos/507379523439360/,,,Let’s END COVID-19 together. Tudde Ku Normal.,,,,"9,506","9,506"
