Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score
Ministry of Health- Uganda,minofhealthUG,767949523254855,194427,2020-10-29 16:45:46 EAT,Photo,1600,177,105,4,8,12,31,2,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3622449221138190,"Results of COVID-19 tests done on 28 October 2020 confirm 434 new cases. The cumulative confirmed cases are now 12,201. 🔺2 new COVID-19 deaths from Yumbe District. The total confirmed deaths are now 108. The breakdown of the new cases are: 430 contacts and alerts: Kampala (94), Kiryandongo (50), Gulu (38), Nebbi (35), Arua (30), Obongi (30), Wakiso (19), Moyo (23), Mbarara (14), Terego (13), Adjumani (12), Yumbe (17), Iganga (6), Masaka (5), Pader (5), Mukono (4), Rubanda (4) Jinja (3), Kyotera (3), Bugiri (2), Bukomansimbi (2), Hoima (2), Kabale (2), Kabarole (2), Kasese (2), Koboko (2), Luwero (2), Maracha (2), Amuru (1), Buikwe (1), Bunyangabu (1), Buvuma (1), Kiboga (1), Ntungamo (1), Rubirizi (1) 2 returnees: from South Sudan 2 truck drivers: Lia (1), Elegu (1)",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3622445694471876/?type=3,,"JBL MINISTRY OF HEALTH COVID-19 DAILY UPDATES NEW CASES RESULTS OF 28h.OCT.2020 CUMULATIVE TIVE CONFIRMED CASES OF UGANDANS TO-DATE 12,201 434 CUMULA TIVE DEATHS TO-DATE 108 (2 New Death) CUMULATIVE RECOVERIES TO-DATE 7,461 (0 New) TOTAL COVID-19 SAMPLES TESTED TO-DATE 544,6 (3,235 New) Woar Mask 0800-100-066 0800-203-033 Wash your Hands Keep Distance E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,1.12
Ministry of Health- Uganda,minofhealthUG,767949523254855,194188,2020-10-28 15:03:43 EAT,Photo,5335,239,98,9,4,14,28,4,3,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3619544764761969,"Results of COVID-19 tests done on 27 October 2020 confirm 146 new cases. The cumulative confirmed cases are now 11,767. 🔺 3 new COVID-19 deaths registered. The total COVID-19 deaths are 106. 🔸 Recoveries: 7,461 The breakdown of the new cases are: 146 contacts and alerts : Kampala (74), Kiryandongo (16), Gulu (11), Sironko (11), Mbale (7), Tororo (5), Wakiso (5), Busia (7), Soroti (3), Isingiro (2), Kabale (1), Kasese (1), Luwero (1) and Mukono (2)",https://www.facebook.com/minofhealthUG/photos/a.802441493138991/3619543354762110/?type=3,,"THE UGANDA MINISTRY OF HEALTH COVID-19 DAILY UPDATES NEW CASES RESULTS OF 27h.OCT.2020 CUMULATIVE TIVE CONFIRMED CASES OF UGANDANS TO-DATE 11,767 146 CUMULATIVE DEATHS TO-DATE 106 (3 New Death) CUMULATIVE RECOVERIES TO-DATE 7,461 (61 New) TOTAL COVID-19 SAMPLES TESTED TO-DATE 541,422 (1,740 New) Wear Mask 0800-100-066 0800-203-033 WashyuHands KeepyourDistance E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,2.19
Ministry of Health- Uganda,minofhealthUG,767949523254855,194188,2020-10-28 14:11:43 EAT,Native Video,222,3,14,2,0,1,0,0,1,original,3707,3795,0,00:00:56,https://www.facebook.com/minofhealthUG/posts/3619439228105856,"The Ministry of Health and partners will recognise and motivate outstanding health workers, entities, services and products in the upcoming Heroes in Health Awards. The objective of these awards is that by shining light on the outstanding contributions of; individual, community, nonprofit, public and private players in the health sector, they will be rallied to innovate, serve the public better and to embrace global trends in the delivery of efficient healthcare to Uganda’s citizens. The public choice awards officiated by H E Yoweri Kaguta Museveni will take place on Friday 6 November, 2020 at Kampala Serena Hotel.",https://www.facebook.com/minofhealthUG/videos/370930304031279/,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FminofhealthUG%2Fvideos%2F370930304031279%2F,,Heroes In Health Awards 2020 in Uganda,,,,-3.2
Ministry of Health- Uganda,minofhealthUG,767949523254855,194063,2020-10-27 13:39:35 EAT,Photo,4661,205,85,5,3,13,21,4,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3616729808376798,"Results of COVID-19 tests done on 26 October 2020 confirm 64 new cases. The cumulative cases are now 11,621. 🔸 2 new COVID-19 deaths registered in Kampala. The cumulative COVID-19 deaths are now 103. 🔺 Recoveries: 7,400 The breakdown of the new cases are: 64 contacts and alerts : Kampala (45), Soroti (5), Tororo (5), Kiryandongo (3), Kyotera (2), Wakiso (2), Pallisa (1), Rubanda (1)",https://www.facebook.com/minofhealthUG/photos/a.802441493138991/3616728328376946/?type=3,,"UB OF MINISTRY OF HEALTH COVID-19 DAILY UPDATES NEW CASES RESULTS OF 26th.OCT.2020 CUMULATIVE TIVE CONFIRMED CASES OF UGANDANS TO-DATE 11,621 11 64 CUMULATIVE DEATHS TO-DATE 103 (2 New Death) CUMULATIVE RECOVERIES TO-DATE 7,400 (49 New) TOTAL COVID-1 SAMPLES TESTED TO-DATE 540,202 (1,056 New) Woar Mask 0800-100-066 0800-203-033 Wash Hands eepyouDisance E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,1.87
Ministry of Health- Uganda,minofhealthUG,767949523254855,193973,2020-10-26 11:42:58 EAT,Photo,1677,559,53,5,3,9,17,2,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3613902145326231,"Results of COVID-19 tests done on 25 October 2020 confirm 114 new cases. The cumulative confirmed cases are now 11,557. The breakdown of the new cases are: 111 contacts and alerts: Kampala (60), Mayuge (12), Wakiso (6), Busia (5), Mbarara (4), Rubanda (4), Soroti (3), Buvuma (3), Katakwi (2), Masindi (2), Bunyangabu (2), Bushenyi (1), Kabarole (1), Kasese (1), Luwero (1), Mbale (1), Mityana (1), Ntungamo (1), Tororo (1) 3 truck drivers from Malaba Point of Entry",https://www.facebook.com/minofhealthUG/photos/a.802441493138991/3613901671992945/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FminofhealthUG%2Fphotos%2Fa.802441493138991%2F3613901671992945%2F%3Ftype%3D3,"THE UGANDA MINISTRY OF HEALTH COVID-19 DAILY UPDATES NEW CASES RESULTS OF 25th.OCT.2020 CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 11,557 114 CUMULATIVEDATHS TO-DATE 101 (0 New Death) CUMULATIVE RECOVERIES TO-DATE 7,351 (0 New) TOTAL COVID-19 SAMPLES TESTED TO-DATE 539,146 (2,969 New) Wear Mask 0800-100-066 0800-203-033 Washuads E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,-1.15
Ministry of Health- Uganda,minofhealthUG,767949523254855,193876,2020-10-25 14:09:36 EAT,Photo,1204,76,8,1,0,1,0,1,0,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3611575358892243,Don’t forget to participate in the COVID-19 response survey. Share your thoughts and views with us. Click http://bit.ly/moh-covid19-survey1:=:https://docs.google.com/forms/d/e/1FAIpQLSfj1SCLPims9pOpdktGTYFlYRZmY13rW2R9KRN789cSb0YhBw/viewform to participate #STAYSAFEUG,https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3611574078892371/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FminofhealthUG%2Fphotos%2Fa.920207488029057%2F3611574078892371%2F%3Ftype%3D3,THEREPUBLIC G UGANDA MINISTRY OF HEALTH COVID-19 RESPONSE SURVEY The Ministry of Health would like to know your views about the COVID-19 pandemic and it's response by participating in a a survey.,,,,,-2.15
Ministry of Health- Uganda,minofhealthUG,767949523254855,193876,2020-10-25 11:12:12 EAT,Photo,3132,503,100,3,1,20,25,2,0,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3611253965591049,"Results of COVID-19 tests done on 24 October, 2020 confirm 146 new cases. The cumulative confirmed cases are 11,443. 🔺2 new COVID-19 deaths reported in Kiryandongo District. The total COVID-19 deaths are now 101. 🔸Recoveries: 7,351 The breakdown of the new cases are: 146 contacts and alerts: Kampala (63), Jinja (16), Kiryandongo (11), Wakiso (10), Mukono (7), Kibuku (5), Masaka (5), Mityana (8), Bulambuli (3), Gulu (3), Luwero (2), Mubende (2), Tororo (2), Bundibugyo (1), Bunyangabu (1), Iganga (1), Kabarole (1), Kaliro (1), Kamuli (1), Kyenjojo (1), Manafwa (1), Mbale (1)",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3611252792257833/?type=3,,"JBL MINISTRY OF HEALTH COVID DAILY UPDATES NEW CASES RESULTS OF 24th.OCT.2020 CUMULA TIVE CONFIRMED CASES OF UGANDANS TO-DATE 11,443 11 146 CUMULATIVE DEATHS TO-DATE 101 (2 New Death) CUMULATIVE RECOVERIES TO-DATE 7,351 (70 New) TOTAL COVID-19 SAMPLES TESTED TO-DATE 536,177 (2,105 New) Woar Mask 0800-100-066 0800-203-033 Wash your Hands Keop yourDistance your E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,1.36
Ministry of Health- Uganda,minofhealthUG,767949523254855,193690,2020-10-24 11:13:50 EAT,Photo,753,447,59,7,1,40,0,2,0,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3608564002526712,"Ministry of Health has reduced the cost of testing for COVID-19 from USD 65$ (UGX 240,500) to USD 50$ (UGX 185,000) This is against the background that the cost of transporting lab test kits and other supplies has since reduced due to the resumption of international flights.",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3608563505860095/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2FminofhealthUG%2Fphotos%2Fa.920207488029057%2F3608563505860095%2F%3Ftype%3D3,,Photos from Ministry of Health- Uganda's post,,,,-2.16
Ministry of Health- Uganda,minofhealthUG,767949523254855,193690,2020-10-24 11:13:15 EAT,Photo,2201,158,54,2,2,9,13,2,3,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3608563215860124,"Results of COVID-19 tests done on 23 October 2020 confirm 134 new cases. The cumulative cases are now 11,297. The breakdown of the new cases are: 134 contacts and alerts: Kampala (86), Gulu (23), Luwero (14), Busia (5), Jinja (4), Isingiro (1), Kyotera (1) #STAYSAFEUG",https://www.facebook.com/minofhealthUG/photos/a.920207488029057/3608562205860225/?type=3,,"MINISTRY OF HEALTH COVID DAILY UPDATES NEW CASES RESULTS OF 23d.OCT.2020 CUMULATIVE TIVE CONFIRMED CASES OF UGANDANS TO-DATE 11,297 134 CUMULATIVE ATIVE DEATHS TO-DATE 99 (0 New Death) CUMULATIVE RECOVERIES TO-DATE 7,281 (12 New) TOTAL COVID-19 SAMPLES TESTED TO-DATE 534,072 (1,740 New) Woar Mask 0800-100-066 0800-203-033 -203-033 Wash your Hands Keop Distance E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,-1.16
Ministry of Health- Uganda,minofhealthUG,767949523254855,193551,2020-10-23 16:37:30 EAT,Photo,4205,152,105,4,3,11,32,2,1,,0,0,0,N/A,https://www.facebook.com/minofhealthUG/posts/3606476376068808,"Results of COVID-19 tests done on 22 October 2020 confirm 122 new cases. The cumulative confirmed cases are 11,163. 🔺One new COVID-19 death recorded from Kampala. The total COVID-19 deaths are now 99. 🔸Recoveries: 7,269. The breakdown of the new cases are: 122 contacts and alerts: Kampala (55), Wakiso (11), Mukono (10), Mbarara (7), Gulu (5), Tororo (5), Kibuku (3), Luwero (4), Manafwa (3), Mbale (3), Kyotera (2), Rubanda (2), Buikwe (1), Bunyangabu (1), Bushenyi (1), Kabale (1), Kayunga (1), Kumi (1), Lamwo (1), Lira (2), Mubende (2) and Ntungamo (1)",https://www.facebook.com/minofhealthUG/photos/a.802441493138991/3606469909402788/?type=3,,"THE UGANDA MINISTRY OF HEALTH COVID-19 DAILY UPDATES NEW CASES RESULTS OF 22d.oCT.2020 CUMULATIVE CONFIRMED CASES OF UGANDANS TO-DATE 11,163 122 CUMULATIVE DEATHS TO-DATE 99 New Death) CUMULATIVE RECOVERIES TO-DATE 7,269 (59 New) TOTAL COVID-19 SAMPLES TESTED TO-DATE 532,332 (3,095 New) Wear Mask 0800-100-066 0800-203-033 Washuad KeepyourDistance Distance E-mail: dghs@infocom.co.ug Website:www.health.go.ug #STAYSAFEUG",,,,,1.58
