,id,text,category,label
0,3262,Defence and excuses!,Organic,
1,3517,PEOPLE POWER/ NUP,Organic,
2,3518,MR .UPDATE MP TO BE.,Organic,
3,3869,Permit to sing 🎶,Organic,
4,3870,DONALD J. TRUMP HAS GONE BONKERS!!!,Organic,
5,4138,Food Grade Packaging Paper Bags,Promotional,
6,3263,Celebrating 70 years of Formula One 🗞️ Story in today's edition 👉🏽 https://t.co/pxiru883T1:=:https://epapers.visiongroup.co.ug/ | #VisionSports,Editorial,
7,3264,KABULETA ALEETA SENTE 2021,Organic,
8,3265,"Bizonto, popular culture and politics of the day #MonitorUpdates",Editorial,
9,3266,Learning From Dr. Patrick Bitature | Episode 1,Organic,
10,4467,Like page,Promotional,
11,6040,Good and touching message,Organic,
12,6497,#LikePage,Organic,
13,3267,Is this one not really another dictator?😠😠😠,Organic,
14,3268,JUST IN: Obasanjo tests negative to Covid-19,Organic,
15,3269,"After “science”, Museveni must start singing “mathematics” #MonitorUpdates",Editorial,
16,6983,"Follow, like and comment",Organic,
17,3908,"E Masanafu, omusajja gwe baakyaye yeekumyeko omuliro #NTVNews",Editorial,
18,3270,**I Can't Apologise To The Ganja Boy (Bobiwine) - What Ever I Said Was True And I Can Still Repeat I**t,Organic,
19,3271,https://youtu.be/HLEyOHW2YsM,Organic,
20,3909,OMG,Organic,
21,7048,Managing Coronavirus stress.,Organic,
22,7083,ooooh Dear Lord,Organic,
23,3272,**I Can't Apologise To The Ganja Boy (Bobiwine) - What Ever I Said Was True And I Can Still Repeat I**t,Organic,
24,3273,Embeera jetutambuliramu,Organic,
25,3138,https://youtu.be/tAbo-lQrGXg please subscribe for more movies,Promotional,
26,3274,Covid-19 Vaccine Timeline.,Organic,
27,3275,Corona Virus Explained.,Organic,
28,3276,When and How to Use Masks - WHO.,Organic,
29,3277,Seventh death as Uganda registers 16 new cases of Covid-19 #MonitorUpdates,Editorial,
30,3910,Mugisha Muntu atabuddwa ebisalibwawo ab’akakiiko k’ebyokulonda #NTVNews,Editorial,
31,3911,Speaker Kadaga live.,Organic,
32,3519,𝐓𝐚𝐚𝐭𝐚 𝐒𝐚𝐦𝐮 𝐍𝐞 𝐌𝐳𝐞𝐞 𝐌𝐮𝐰𝐚𝐧𝐯𝐮 OBA KUBANO ANI ASINGA OMULULU?,Organic,
33,3520,WHO SAID ARSE-LICKING WAS A BAD PROFESSION?,Organic,
34,3553,At least seven people were killed when a car bomb exploded at an army base in the Somali capital Mogadishu #NTVNews,Editorial,
35,3651,THAIS NOT AMUSED BY TRUMP'S INABILITY TO PRONOUNCE THE NAME OF THEIR COUNTRY.,Organic,
36,3750,ICYMI: An assessment of the new malaria testing kit with Dr Jimmy Opigo from the Ministry Of Health #MorningAtNTV #NTVNews,Editorial,
37,3751,Kindly inbox me on 0757816581 for orders and details we do delivery,Organic,
38,3173,Interesting read,Organic,
39,3174,💯%,Organic,
40,3175,So now we are stealing our own land? Wtf!,Organic,
41,3176,Protect your family - get a quality water purifier for your home 👇👇👇,Organic,
42,3177,https://www.facebook.com/102616044852623/posts/134002351713992/?app=fbl,Organic,
43,3217,Level him wamma,Organic,
44,3218,"So adorable ,awesome monkey like human ,love them and man treating with polite voice and baby monkey is impatient",Organic,
45,3219,Plan for unexpected early retirement #MonitorUpdates,Editorial,
46,3220,Please join me to wish Happy 2nd anniversary to Another Life Global Ministries,Organic,
47,3912,Museveni ayise aba NRM CEC enkya #NTVNews,Editorial,
48,3278,Ole Gunnar Solskjaer would love Manchester United to round off the coronavirus-affected season by winning the Europa League which he says will be the proudest moment of his life. #NTVNews Click 👇👇,Editorial,
49,3752,"Is Andrew Mwenda joining National Unity Platform Party, to destroy it ❓",Organic,
50,3279,Mr Enanga POLICE chief of UGANDA where is UPDF OR LDU??? If it was NUP YOU DEPLOY AND ENTIRE ARMY? NRM YOU MUST 👉👉👉GO 2021👈👈 UGANDANS WAKE UP!!!,Organic,
51,3108,Hong Kong pro-democracy media mogul Jimmy Lai was arrested under a new national security law Monday and police raided his newspaper offices in a deepening crackdown on dissent in the restless Chinese city. #NTVNews Read 👇👇,Editorial,
52,3261,"Many people will get recharge card this Morning Congrats and don't miss it, Admin block me if I don't send the card, 5k recharge card 4 Sallah Glo Mtn Airtel Eti Write 1-30 without interruption. First 5 people that get it get 5k card.",Organic,
53,3109,"WELCOME TO THE LEGAL JUNGLE OF PEOPLE POWER MISSION 2021 REVOLUTION - TO ALL PEACE LOVING PEOPLE: WELCOME TO THE LEGAL JUNGLE OF PEOPLE POWER MISSION 2021 REVOLUTION: Museveni went to the bush in 1981 to fight for a stolen election. The People Power will not go to the bush 2021. However, if Museveni and his NRM thugs steal even one vote then, THE PEOPLE’S REVOLUTIONARY FORCE, T.P.R.F. will remove Museveni and his NRM from Power by force of arms. IT'S THE END GAME - IT'S THE DO OR DIE GRAND FINALE. https://www.facebook.com/348320908672693/videos/294317368300083/",Organic,
54,3110,Indeed the emergency of True Opposition by @bobi wine is giving @museveni sleepless nights because his Opposition of his making has Collapsed and replaced by Option,Organic,
55,3111,Indeed the emergency of True Opposition by @bobi wine is giving @museveni sleepless nights because his Opposition of his making has Collapsed and replaced by Option,Organic,
56,3112,Bambi show some love,Organic,
57,3113,First Lady tips runners ahead of Monaco race https://bit.ly/31EKgbF #MonitorUpdates,Editorial,
58,3114,NTV PANORAMA: Torching the human rights abuses in the artisanal mining sector. #NTVNews Click 👇👇,Editorial,
59,3115,Banange muwulile nabino,Organic,
60,3116,"According to Mr Oryem, those who are slated to travel by road are the ones who cannot afford airline tickets.. #MonitorUpdates",Editorial,
61,3117,WELCOME TO THE LEGAL JUNGLE OF PEOPLE POWER MISSION 2021 REVOLUTION - TO ALL PEACE LOVING PEOPLE: Museveni And His NRM Government Are Full Of Thieves Taking Any Money On The Way. IT'S THE END GAME - IT'S THE DO OR DIE GRAND FINALE. https://www.facebook.com/kellotv/videos/609060099808641/,Organic,
62,3118,"I used to see these in Nigerian movies, I didn't know they would happen to me one day! Men, would you take her back? Fellow ladies, what's your advice to her?",Organic,
63,3119,Kawempe for BobiWine 🤗🔥,Organic,
64,3120,HEALTH FOCUS (ICYMI): Understanding the value of breastfeeding. #NTVNews Full report 👉👉,Editorial,
65,3121,Miracle Moments Live,Organic,
66,3122,Heartbreaking 💔💔 Husband and little daughter mourns the death of his wife and little baby. What a world of misery. I know you are busy but just use two seconds of your time to type RIP and God will never allow untimely death come near you. RIP 😭😭😭,Organic,
67,3123,my God,Organic,
68,3124,PLEASE FOLLOW THIS PAGE 🤔🤔,Promotional,
69,3125,Eddy Kenzo have your say,Organic,
70,3126,"KAMALA, THE UGANDAN GIANT. RIP.",Organic,
71,3127,"With Criminals like Kale Kayihura who is on the US Watch for atrocities committed Humanity and his blue eyed Kitatta have been released by Museveni to Terrorise Ugandans Again and even Murder, I call Upon United Nations for Intervention for a Free and Fair Elections to Thrive because here Institutions are No More",Organic,
72,3128,"With Criminals like Kale Kayihura who is on the US Watch for atrocities committed Humanity and his blue eyed Kitatta have been released by Museveni to Terrorise Ugandans Again and even Murder, I call Upon United Nations for Intervention for a Free and Fair Elections to Thrive because here Institutions are No More",Organic,
73,3129,Ndeeba Anglican church building demolished https://bit.ly/3gL3Glh #MonitorUpdates,Editorial,
74,3130,"Kaiso landing site on L. Albert in Hoima district has a population of about 10,000 but it has only one safe water source. This raises the risk of water-borne diseases amidst the COVID-19 pandemic. #NTVNews",Editorial,
75,3131,Follow the page for more updates #DrStellaNyanzi,Organic,
76,3132,"Oh what kind of pains is all this, this is really too much for me to handle , am loosing it already My husband and my only child both sick same time, and their condition is getting worst by the day From my heart I sincerely plead for your prayers , I am not asking for money but prayers which is a the least you can do for us . PLEASE PRAY FOR THEIR QUICK RECOVERY. And God will surely bless you and keep you and your family alive.",Organic,
77,3133,Covid-19: How Ugandans died at the hands of security agents #MonitorUpdates,Editorial,
78,3134,He is a right choice,Organic,
79,3135,"Meet Rita Kivumbi, a lady who lost her sight but kept her passion for art and painting. #NTVNews Full story here 👇👇",Editorial,
80,3136,https://youtu.be/fyLDeH0NwQA,Promotional,
81,3137,https://youtu.be/fyLDeH0NwQA,Promotional,
82,3139,What a shame on this government which has failed to protect us.,Organic,
83,3140,"According to the statement from Makerere University’s principal public relations officer, Ms Rita Namisango, the Senate search committee shortlisted three names. #MonitorUpdates",Editorial,
