Page Name,User Name,Facebook Id,Likes at Posting,Created,Type,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Overperforming Score
Kampala Capital City Authority - KCCA,kccaug,273186819404795,73405,2020-10-27 10:55:09 EAT,Photo,108,10,11,1,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/kccaug/posts/3580725915317519,"Its 4 days to Weyonje monthly Cleanup, keeping our City clean requires a collective effort which is why we call upon everyone to join in on the campaign this Saturday 31 October, 2020. Engage in a cleanup anywhere, take a photo or short video & share on social media with #KampalaWeyonje. #ForABetterCity",https://www.facebook.com/kccaug/photos/a.273210159402461/3580724438651000/?type=3,,,,,,,-1.48
Kampala Capital City Authority - KCCA,kccaug,273186819404795,73398,2020-10-26 16:24:19 EAT,Photo,88,35,7,1,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/kccaug/posts/3578598458863598,"The Precinct Physical Development Plans for Kololo, Nakasero, Mulago and Makerere are on display at City Hall (Client Care Center) for review. The plans are based on a Sustainability model that takes on growth which addresses the effects of #ClimateChange at both City & Precinct level. #KCCAatWork",https://www.facebook.com/kccaug/photos/a.273210159402461/3578563212200456/?type=3,,,,,,,-1.65
Kampala Capital City Authority - KCCA,kccaug,273186819404795,73375,2020-10-24 17:23:17 EAT,Photo,301,27,24,2,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/kccaug/posts/3573254489397995,"KCCA Executive Director made an on spot tour of various projects today morning. These included Kyanja Agricultural Resource Center (Demonstration Farm) & Concrete yard, Kitezi and Dundu Landfills. The move is geared towards understanding the functioning & processes at these sites and how best they can be improved to create a Sustainable and Resilient City. #ForABetterCity",https://www.facebook.com/kccaug/photos/a.273210159402461/3573239229399521/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fkccaug%2Fphotos%2Fa.273210159402461%2F3573239229399521%2F%3Ftype%3D3,,Photos from Kampala Capital City Authority - KCCA's post,,,,1.51
Kampala Capital City Authority - KCCA,kccaug,273186819404795,73369,2020-10-22 16:23:41 EAT,Photo,139,12,1,2,0,0,0,0,2,,0,0,0,N/A,https://www.facebook.com/kccaug/posts/3567524756637635,"As you sit back in your living room or on your way home this evening (22 Oct, 2020) from 7-8pm, Tune in to 97.3 FM Radio Simba and catch our Physical Planning team led by Simon Sserugo talk about Precinct Physical Planning in Kololo, Nakasero, Mulago & Makerere. #KCCAonAir",https://www.facebook.com/kccaug/photos/a.608844662505674/3567524169971027/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Fkccaug%2Fphotos%2Fa.608844662505674%2F3567524169971027%2F%3Ftype%3D3,,,,,,-1.57
Kampala Capital City Authority - KCCA,kccaug,273186819404795,73369,2020-10-22 08:15:26 EAT,Photo,228,3,5,3,0,0,0,0,1,,0,0,0,N/A,https://www.facebook.com/kccaug/posts/3566666846723426,KCCA Executive Director paid a courtesy call on the Speaker of Parliament the Rt Hon Rebecca Alitwala Kadaga where they had a cordial conversation. #PartnerWithKCCA,https://www.facebook.com/KCCAED/photos/a.180194480300921/187710872882615/?type=3,,,KCCA Executive Director,It was a pleasure meeting the Rt Hon Rebecca Alitwala Kadaga today. Thank you Rt. Hon for your gracious welcome & guidance on fast tracking Service delivery in the City. Enabling legislation is a key tool in City Administration within the five divisions of Kampala.,,,-1.02
Kampala Capital City Authority - KCCA,kccaug,273186819404795,73357,2020-10-21 22:18:33 EAT,Photo,194,4,4,2,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/kccaug/posts/3565559133500864,Our appreciation to Multi Choice Uganda who today donated Personal Protective Equipment (7500-KN95 Face masks & 7500- Disposable Isolation Gowns) valued at Ugx 281.3m as support to our frontline medical workers & people in high risk areas. The consignment was received by KCCA Executive Director. #PartnerWithKCCA,https://www.facebook.com/kccaug/photos/a.608844662505674/3565558886834222/?type=3,,,Photos from Kampala Capital City Authority - KCCA's post,,,,-1.2
Kampala Capital City Authority - KCCA,kccaug,273186819404795,73357,2020-10-21 15:34:41 EAT,Photo,118,5,1,2,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/kccaug/posts/3564703590253085,Our Dir. Education & Social Services officiated at the official handover of solar panels that were installed in 10 of our schools early this year by Stanbic Bank - Uganda. Stanbic Manager for Corporate Social Investment noted that the move was aimed at facilitating smooth learning in schools. #PartnerWithKCCA,https://www.facebook.com/kccaug/photos/a.273210159402461/3564701633586614/?type=3,,,Photos from Kampala Capital City Authority - KCCA's post,,,,-1.94
Kampala Capital City Authority - KCCA,kccaug,273186819404795,73357,2020-10-21 08:09:08 EAT,Photo,190,51,17,4,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/kccaug/posts/3563842787005832,"As we come closer to our monthly #KampalaWeyonje Inter Division Clean up on the 31 Oct, 2020, we would like to here from you. What do you think is the dirtiest part of Kampala and how best can we keep it clean? Together #ForABetterCity",https://www.facebook.com/kccaug/photos/a.273210159402461/3563841927005918/?type=3,,,,,,,1.07
Kampala Capital City Authority - KCCA,kccaug,273186819404795,73340,2020-10-19 09:36:06 EAT,Photo,28,1,2,1,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/kccaug/posts/3558711190852325,"Last month, we launched the monthly #KampalaWeyonje Inter Division Sanitation Campaign aimed at having & maintaining a healthy City and Environment. This Sat 31 Oct, 2020, take part by cleaning your neighborhood wherever you will be, take a photo or short video & share.",https://www.facebook.com/kccaug/photos/a.273210159402461/3558710367519074/?type=3,,,,,,,-7.69
Kampala Capital City Authority - KCCA,kccaug,273186819404795,73317,2020-10-17 16:31:33 EAT,Photo,461,36,15,5,0,0,0,0,0,,0,0,0,N/A,https://www.facebook.com/kccaug/posts/3554017647988346,"Earlier on today, our team led by KCCA Executive Director made an on spot tour of #KCCAatWork Infrastructure developments in the City to assess progress of works on the ongoing projects starting from Namirembe road Non-motorized Transport Route(NMT) through Old & New Taxi parks to Kikuubo, Luwum Street and Centenary Park Lane. #ForABetterCity",https://www.facebook.com/kccaug/photos/a.273210159402461/3554010857989025/?type=3,,,Photos from Kampala Capital City Authority - KCCA's post,,,,2.08
