,Facebook Id,text,label
0,767949523254855,"The COVID-19 response has been boosted with an assortment of medicines from the Government of India. This was received by the Minister for State in-charge of Primary Health Care, Dr Joyce Moriku Kaducu. The Permanent Secretary, Dr. Diana Atwine also received an array of Personal Protective Equipment comprising of 20,000 Face masks, 30,000 Examination Gloves and 120 pieces of infrared thermometers from Fosun Pharma and Phillip's Pharmaceuticals Uganda. The companies were represented by Ani, Director, Phillip's Pharmaceuticals Uganda Limited and Sanjoy Basak Country Head Fosun.",
32,767949523254855,"Results of COVID-19 tests done on 21 September, 2020 confirm 244 new cases. The cumulative confirmed cases of Ugandans are 6,712. The breakdown of the 244 new cases are: •Contacts and alerts (219): Kiryandongo (26), Kampala (23), Pader (19), Gulu (16), Mukono (14), Moroto (13), Jinja (11), Adjumani (11), Amuru (9), Busia (7), Kitgum (12), Lira (6), Omoro (5), Buvuma (4), Nakapiripirit (5), Arua (3), Iganga (3), Kisoro (3), Kumi (3), Mitooma (3), Nabilatuk (2), Bulambuli (2), Butaleja (2), Soroti (2), Wakiso (2), Abim (1), Buikwe (1), Bunyangabu (1), Kabarole (1), Kapchorwa (1), Kotido (1), Isingiro (1), Mbarara (1), Moyo (1), Ngora (1), Sironko (1), Tororo (1) and Zombo (1) •Returnees (24): all from India •Truck driver (1) from Mpondwe Point of Entry One (1) COVID-19 death from Kampala registered today. The total COVID-19 deaths are now 64.",
43,767949523254855,#YambalaMask,
11,767949523254855,"Results of COVID-19 tests done on 20 September, 2020 confirms 181 new cases. The cumulative confirmed cases of Ugandans to-date is now 6,468. The breakdown of the 181 new cases are: Contacts and alerts (157) : Kampala (73), Mbale (19), Kapchorwa (26), Soroti (10), Jinja (5), Kaberamaido (5), Kumi (3), Buikwe (2), Iganga (2), Isingiro (2), Ngora (3), Busia (1), Kaliro (1), Kanungu (1), Masaka (1), Rakai (1), Sironko (1) and Wakiso (1) Returnees (21): India (20), Tanzania 1 Truck drivers (3) : Malaba Point of Entry",
36,767949523254855,"The Permanent Secretary, Dr. Diana Atwine and Director General Health Services, Dr Henry G. Mwebesa lead a team of medics to Kawempe National Referral Hospital as part of routine weekly audit meetings on maternal and perinatal deaths. This is aimed at improving maternal health outcomes at the hospital. Today, the team is joined by the management of Nsambya Hospital to share best practices in preventing maternal deaths.",
2,767949523254855,"Results from COVID-19 tests done on 19 September 2020 270 new COVID-19 cases confirmed. The cumulative total confirmed cases of Ugandans are now 6,287.",
19,767949523254855,"Results from COVID-19 tests done on 18 September 2020 423 new COVID-19 cases have been confirmed. The cumulative total confirmed cases of Ugandans are now 6,017. 🔺2 new COVID-19 deaths from Kampala and Mpigi. The total COVID-19 deaths are now 63. Contacts and alerts (411): Moroto (166), Kampala (85), Butaleja (59), Mukono (27), Lira (14), Mbale (10), Wakiso (9), Luwero (6), Buikwe (5), Kisoro (4), Gulu (3), Bududa (5), Jinja (4), Kumi (3), Kanungu (1), Kapchorwa (4), Mpigi (1), Soroti (3), Mityana (1), Sironko (1) Returnees (12): from Saudi Arabia (8), India (3), Jordan (1) 🔸 Ugandan recoveries: 2,581 🔹Point of entry samples: 306 🔸Contacts and alerts samples: 2,014 🔹Total samples tested: 2,320",
4,767949523254855,"Since the onset of the COVID-19 outbreak, 300 children aged 0-18 years have tested positive for COVID-19 in Uganda. As a parent/guardian, you are responsible for the safety of your child. #STAYSAFEUG",
12,767949523254855,"Results of COVID-19 tests done on 17 September 2020 confirm 214 new cases. The cumulative confirmed cases of Ugandans is now 5,594. 🔸Recoveries: 2,544 🔺1 new COVID-19 death registered from Kampala. Total COVID-19 deaths are now 61.",
39,767949523254855,Sleeping under a mosquito net protects you and your family from Malaria. #SleepUnderTheNetUg,
37,767949523254855,"The Permanent Secretary, Dr. Diana Atwine has rolled out 100 Abbott Point of Care Machines for Early Infant Diagnosis and Viral Load testing. This enhanced capacity will bolster service delivery and progress towards achieving the 95:95:95 targets towards the ending AIDS in Uganda.",
6,767949523254855,"Results of COVID-19 tests done on 16 September 2020 confirm 114 new cases. The cumulative confirmed cases of Ugandans now is 5,380. 🔸Recoveries: 2,489 #STAYSAFEUG",
7,767949523254855,"There are many myths about COVID-19. But, remember, the disease is real and it kills. COVID-19 does NOT know age, tribe, gender or social status. Protect yourself and your loved ones. #WearItForMe #STAYSAFEUG",
17,767949523254855,"The Source of the Nile Bridge has been illuminated this evening with support from Uganda National Roads Authority and World Health Organization Uganda to commemorate World Patients' Safety Day. Lighting up the bridge in orange is a symbolic gesture to represent public recognition of health workers’ efforts to provide safe healthcare every single day. This is evident from the commitment, resilience and hard work exhibited by health workers. Every year, the day is commemorated on September 17. This year, the theme is “Health worker safety: A priority for patient’s safety” 📷: WHO Uganda.",
22,767949523254855,Who is a contact to a confirmed COVID-19 case? A contact is someone who has been in the same general area as someone who has tested positive for Coronavirus. #STAYSAFEUG,
23,767949523254855,"Results of COVID-19 tests done on 15 September 2020 confirm 143 new cases. The cumulative confirmed cases of Ugandans are now 5,266. 🔸Recoveries: 2,404 🔺2 new COVID-19 deaths registered. Total COVID-19 deaths are now 60. #STAYSAFEUG",
