annotation_approver,id,label,meta,meta.Facebook Id,text,user
,8843,44,0,767949523254855,"Results of COVID-19 tests done on 6 October 2020 confirm 178 new cases. The cumulative cases are now 9,260. 🔸Recoveries: 5,588 🔺One new COVID-19 death registered from Jinja. The total COVID-19 deaths are now 85. The breakdown of the new cases are: Contacts and Alerts (176): Kampala (31), Moroto (28), Kotido (28), Kiryandongo (25), Mukono (9), Napak (7), Rubanda (7), Kaberamaido (8), Wakiso (6), Moyo (6), Katakwi (3), Soroti (3), Amuru (4), Buvuma (2), Gomba (2), Buikwe (1), Jinja (2), Kaabong (1), Kisoro (1), Nakapiripirit (1) and Ntungamo (1) 1 returnee from Tanzania 1 truck driver from Mutukula",2
,8844,46,1,767949523254855,"Through the Ministry of Health, Bukomansimbi District received a fully equipped type B ambulance donated by KOFIH to support emergency medical services. The ambulance received by Dr. Diana Atwine will further support emergency care among communities in the greater Masaka Region. #STAYSAFEUG",2
,8845,44,2,767949523254855,"Results of COVID-19 tests done on 5 October 2020 confirm 117 new cases. The cumulative confirmed cases are now 9,082. 🔸Recoveries: 5,457 🔺2 new COVID-19 deaths recorded from Amuru and Arua. The total COVID-19 deaths are now 84. The breakdown of the new cases are: Contacts and alerts (114): Kampala (80), Pader (12), Sironko (6), Mbale (5), Arua (4), Amuru (2), Busia (1), Gulu (2), Masindi (1) and Tororo (1) Truck Drivers (3) from Malaba #STAYSAEFUG",2
,8846,44,3,767949523254855,"Results from COVID-19 tests done on 04 October 2020 confirm 157 new cases. The cumulative confirmed cases are 8,965. 🔺1 new COVID-19 death registered from Kumi. The total COVID-19 deaths are now 82. 🔸Recoveries: 5,078 The breakdown of the new cases are: Contacts and alerts (141): Amuru (25), Kampala (22), Abim (12), Jinja (13), Kaabong (14), Kotido (9), Hoima (7), Kumi (8), Napak (7), Amuria (3), Nakapiripirit (5), Serere (3), Katakwi (4), Rakai (2), Buvuma (1), Iganga (1), Kaliro (1) Kikuube (1), Masindi (1), Nabilatuk (1) and Kalaki (1) Returnees (16): Saudi Arabia (13) and Jordan (3)",2
,8847,44,4,767949523254855,"Results from COVID-19 tests done on 3 October 2020 confirm 146 new cases. The cumulative confirmed cases are 8,808. 🔺2 new COVID-19 deaths; from Kampala and Gulu. The total COVID-19 deaths are now 81. 🔸Recoveries: 4,736 The breakdown of the new cases are: Contacts and Alerts (83): Masaka (61), Kampala (11), Gulu (4), Arua (1), Buikwe (1), Buvuma (1), Jinja (1), Luwero (1), Moyo (1), Adjumani (1) Returnees (63): from Oman (44), Jordan (12), Saudi Arabia (5) and South Sudan (2)",2
,8848,44,5,767949523254855,"Results from COVID-19 tests done on 2 October 2020 confirm 171 new cases. The cumulative confirmed cases are 8,662. 🔸Recoveries: 4,546 The breakdown of the new cases are: 117 contacts and alerts: Masaka (43), Kampala (28), Jinja (10), Kole (12), Bukwo (10), Lira (3), Apac (2), Kisoro (2), Mukono (1), Namisindwa (1), Tororo (3), Wakiso (1), Busia (1) 54 returnees: from Jordan (48), Oman (5), UAE (1)",2
,8849,44,6,767949523254855,"Results of COVID-19 tests done on 01 October 2020 confirm 204 new cases. The cumulative confirmed cases are 8,491. 🔺4 new COVID-19 deaths registered. 3 are from Kampala and 1 from Bududa. The total COVID-19 deaths are now 79. 🔸Recoveries: 4,470 The breakdown of the new cases are: Contacts and Alerts (197): Kampala (68), Agago (37), Kapchorwa (11), Busia (10), Kween (9), Namisindwa (6), Jinja (5), Omoro (5), Bududa (5), Buliisa (4), Gulu (4), Mukono (3), Sironko (3), Wakiso (3), Yumbe (5), Butaleja (2), Mbale (2), Soroti (2), Adjumani (1), Amuru (1), Arua (1)Budaka (1), Kagadi (1), Kaliro (1), Kibuku (1), Koboko (1), Kyotera (1), Lira (1), Masindi (1) and Tororo (2) 6 returnees from: UAE (2), Saudi Arabia (1), South Sudan (1), Oman (1), DRC (1) 1 truck driver: Elegu Point of Entry",2
,8850,46,7,767949523254855,"A total of 50 motorcycles have been handed over to 50 selected districts by the Minister for State in charge of General Duties, Hon. Robinah Nabbanja and PS, Dr Diana Atwine. The motorcycles procured with support from the Global Fund are intended to boost TB and Leprosy activities.",2
,8851,45,8,767949523254855,The Ministry of Health with support from Spark Health Africa are supporting District Task Forces in 8 districts across the country to draw mechanisms of innovatively responding to and coping with the devastating effects of the COVID-19 pandemic among local communities. The districts of focus are: 1. Kayunga 2. Mityana 3. Mukono 4. Tororo 5. Iganga 6. Bugiri 7. Mbarara 8. Bushenyi,2
,8852,44,9,767949523254855,"Results from COVID-19 tests done on 30 September 2020 confirmed 158 new cases. The cumulative confirmed cases are 8,287. 🔸Recoveries: 4,430 The breakdown of the new cases are: Contacts and Alerts (125): Kampala (76), Kabarole (4), Mbarara (4), Wakiso (4), Butambala (3), Kitgum (3), Mbale (3), Nabilatuk (3), Bududa (2), Dokolo (2), Kisoro (3), Kalaki (2), Mityana (2), Bunyangabu (1), Gomba (1), Hoima (1), Iganga (1) Kaberamaido (1), Kasese (1), Kwania (1), Kyotera (1), Lira (1), Mpigi (1), Napak (1), Ntungamo (1), Rubanda (1) and Soroti (1) 33 returnees: Oman (18), Jordan (10), Afghanistan (5)",2
