,text,category
65694,https://mknewslink.com/brutalised-man-demands-police-to-pay-his-hospital-bills/,
65705,HOT DEAL!!,
65726,https://mknewslink.com/rwandan-soldiers-kidnap-another-ugandan-farmer-in-kabale/,
65729,https://mknewslink.com/rukungiri-police-hunt-for-man-over-cousins-murder/,
65742,⚽💪🏽 BACK TO WINNING WAYS #Wolves make easy work of #Everton to climb back to 6th on the table. | #VisionSports 👇🏽 https://newvisionapp.page.link/WUf9GsjSRVsQMEbB8:=:https://newvisionapp.com/1207,
65754,Minister of State for Fisheries Hellen Adoa says governed has set 27th July as the official date for lifting the ban on fishing on Lake Kyoga and Kwania. #NTVNews,
65769,"Bishops, sheikhs should turn to God, not political leaders https://zionly.io/C80Lucu:=:https://www.monitor.co.ug/News/National/Bishops--sheikhs-should-turn-to-God--not-political-leaders/688334-5592060-f47v3g/index.html #MonitorUpdates",
65779,🏏 Jofra Archer struck twice to revive #England's hopes of victory in the first Test against #WestIndies. | #VisionSports 👇🏽 https://newvisionapp.page.link/p71PauT8Y263nWD48:=:https://newvisionapp.com/1206,
65786,Activist Rwakakamba petitions court over NSSF Act https://zionly.io/RzuEnFk:=:https://www.monitor.co.ug/News/National/Activist-Rwakakamba-petitions-court-over-NSSF-Act/688334-5592054-j8awtwz/index.html #MonitorUpdates,
65787,LIVE: #MoneyPoliticsinAfrica | www.ntv.co.ug/live:=:https://www.ntv.co.ug/live,
65797,Parliament’s public accounts committee has expressed concern at the progress of construction and rehabilitation at Kayunga hospital. #NTVNews,
