,Facebook Id,text,label
20085,169252986456497,Hong Kong pro-democracy media mogul Jimmy Lai was arrested under a new national security law Monday and police raided his newspaper offices in a deepening crackdown on dissent in the restless Chinese city. #NTVNews Read 👇👇,
20103,274577061337,"WELCOME TO THE LEGAL JUNGLE OF PEOPLE POWER MISSION 2021 REVOLUTION - TO ALL PEACE LOVING PEOPLE: WELCOME TO THE LEGAL JUNGLE OF PEOPLE POWER MISSION 2021 REVOLUTION: Museveni went to the bush in 1981 to fight for a stolen election. The People Power will not go to the bush 2021. However, if Museveni and his NRM thugs steal even one vote then, THE PEOPLE’S REVOLUTIONARY FORCE, T.P.R.F. will remove Museveni and his NRM from Power by force of arms. IT'S THE END GAME - IT'S THE DO OR DIE GRAND FINALE. https://www.facebook.com/348320908672693/videos/294317368300083/",
20105,274577061337,Indeed the emergency of True Opposition by @bobi wine is giving @museveni sleepless nights because his Opposition of his making has Collapsed and replaced by Option,
20106,1681786142107330,Indeed the emergency of True Opposition by @bobi wine is giving @museveni sleepless nights because his Opposition of his making has Collapsed and replaced by Option,
20114,129941485127407,Bambi show some love,
20129,105583497196,First Lady tips runners ahead of Monaco race https://bit.ly/31EKgbF #MonitorUpdates,
20132,169252986456497,NTV PANORAMA: Torching the human rights abuses in the artisanal mining sector. #NTVNews Click 👇👇,
20139,1681786142107330,Banange muwulile nabino,
20142,105583497196,"According to Mr Oryem, those who are slated to travel by road are the ones who cannot afford airline tickets.. #MonitorUpdates",
20143,274577061337,WELCOME TO THE LEGAL JUNGLE OF PEOPLE POWER MISSION 2021 REVOLUTION - TO ALL PEACE LOVING PEOPLE: Museveni And His NRM Government Are Full Of Thieves Taking Any Money On The Way. IT'S THE END GAME - IT'S THE DO OR DIE GRAND FINALE. https://www.facebook.com/kellotv/videos/609060099808641/,
20152,274577061337,"I used to see these in Nigerian movies, I didn't know they would happen to me one day! Men, would you take her back? Fellow ladies, what's your advice to her?",
20160,274577061337,Kawempe for BobiWine 🤗🔥,
20162,169252986456497,HEALTH FOCUS (ICYMI): Understanding the value of breastfeeding. #NTVNews Full report 👉👉,
20180,1681786142107330,Miracle Moments Live,
20190,1681786142107330,Heartbreaking 💔💔 Husband and little daughter mourns the death of his wife and little baby. What a world of misery. I know you are busy but just use two seconds of your time to type RIP and God will never allow untimely death come near you. RIP 😭😭😭 ,
20191,274577061337,my God,
20193,1486116641609917,PLEASE FOLLOW THIS PAGE 🤔🤔,
20196,1681786142107330,Eddy Kenzo have your say,
20199,274577061337,"KAMALA, THE UGANDAN GIANT. RIP.",
20215,1681786142107330,"With Criminals like Kale Kayihura who is on the US Watch for atrocities committed Humanity and his blue eyed Kitatta have been released by Museveni to Terrorise Ugandans Again and even Murder, I call Upon United Nations for Intervention for a Free and Fair Elections to Thrive because here Institutions are No More",
20216,274577061337,"With Criminals like Kale Kayihura who is on the US Watch for atrocities committed Humanity and his blue eyed Kitatta have been released by Museveni to Terrorise Ugandans Again and even Murder, I call Upon United Nations for Intervention for a Free and Fair Elections to Thrive because here Institutions are No More",
20221,105583497196,Ndeeba Anglican church building demolished https://bit.ly/3gL3Glh #MonitorUpdates,
20232,169252986456497,"Kaiso landing site on L. Albert in Hoima district has a population of about 10,000 but it has only one safe water source. This raises the risk of water-borne diseases amidst the COVID-19 pandemic. #NTVNews",
20235,274577061337,Follow the page for more updates #DrStellaNyanzi,
20247,1681786142107330,"Oh what kind of pains is all this, this is really too much for me to handle , am loosing it already My husband and my only child both sick same time, and their condition is getting worst by the day From my heart I sincerely plead for your prayers , I am not asking for money but prayers which is a the least you can do for us . PLEASE PRAY FOR THEIR QUICK RECOVERY. And God will surely bless you and keep you and your family alive. ",
20262,105583497196,Covid-19: How Ugandans died at the hands of security agents #MonitorUpdates,
20266,274577061337,He is a right choice,
20271,169252986456497,"Meet Rita Kivumbi, a lady who lost her sight but kept her passion for art and painting. #NTVNews Full story here 👇👇",
20276,1486116641609917,https://youtu.be/fyLDeH0NwQA,
20289,129941485127407,https://youtu.be/fyLDeH0NwQA,
20291,1681786142107330,https://youtu.be/tAbo-lQrGXg please subscribe for more movies,
20293,274577061337,What a shame on this government which has failed to protect us.,
20295,105583497196,"According to the statement from Makerere University’s principal public relations officer, Ms Rita Namisango, the Senate search committee shortlisted three names. #MonitorUpdates",
20298,129941485127407,A page with great Inspiration! Please LIKE it and SHARE with your Friends! #myyellowidea #UGDigitalAgency,
20301,274577061337,"In this evil regime everything is possible, the devil is active.... The perpetrators are close allies of the ruler. But why?? 😥 God show your anger of the old testament, let them perish for this act of blasphemy.",
20316,329423169077,NRM MANIFESTO: President Museveni roots for science-led economy. Details in the New Vision. Subscribe to our #EPAPER; https://bit.ly/39qqm7v:=:https://epapers.visiongroup.co.ug/ | #VisionUpdates https://youtu.be/pBehZGB27EI:=:https://www.youtube.com/watch?v=pBehZGB27EI&feature=youtu.be,
20323,105583497196,"I weakened FDC in Busoga region, says Mukula https://bit.ly/3iuIaBJ:=:https://www.monitor.co.ug/News/National/-FDC-Busoga-Mukula-Ekongot-Akello-NRM/688334-5606616-ga94doz/index.html #MonitorUpdates",
20327,274577061337,"“This is to acknowledge receipt of your complaint in regards to the above [investigation of Kasekende, Bagyenda and Sekabira]. This letter is addressed to two institutions which are both mandated to direct on investigations. The complaint should be addressed to one institution for proper investigations and follow-up and also to avoid duplicity and wastage of resources, “reads DPP Abodo’s letter.",
20330,1681786142107330,What If we use this Same Method Here in Uganda?,
20339,1486116641609917,Surf Computers,
